Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
8534,NS do Cabo e S Cruz,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1724,,"Nogueira, João"
8535,NS do Monte do Carmo e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1724,,"Almeida, Manoel Pereira de"
8536,NS da Mãe de Deus e Monte do Carmo,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Garcia, Antônio Francisco"
8537,S Isabel,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1725,,"Rocha, Francisco Rodrigues"
8538,S Francisco Xavier,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Neto, Antônio"
8539,NS de Nazaré S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1725,,"Quaresma, José"
8540,NS de Guadalupe e S Antônio,"Bahia, port unspecified",Luanda,Rio de Janeiro,1725,,"Sá, Francisco Ferreira de"
8541,S Gertrudes e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Cobra, José Ferreira"
8542,NS da Encarnação e S José,Rio de Janeiro,Luanda,Rio de Janeiro,1725,,"Silva, Manoel da"
8543,NS do Rosario e S Antônio,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1725,,"Antão, Caetano Lopes"
8544,Corpo Santo e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Gomes, Damásio"
8545,NS do Monte do Carmo e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1725,,"Paulo, Guilherme"
8546,NS do Socorro e S Francisco Xavier,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Pinto, José de Moraes"
8547,NS da Conceição e S João Batista,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Mira, Manoel da Costa"
8548,NS da Lembrança e S Caetano,Rio de Janeiro,Luanda,Rio de Janeiro,1725,,"Santos, Manoel Dias dos"
8549,NSr do Bonfim e NS da Oliveira,Rio de Janeiro,Luanda,Rio de Janeiro,1725,,"Nunes, José Rodrigues"
8550,NS do Socorro e S Antônio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Costa, Silvestre da"
8551,Jesus Maria José,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Andrade, Manoel Gomes de"
8552,S Luísa e S Pedro,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Brito, Inácio de"
