,Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s),Longitude,Latitude
87,MONGOLIA,1.0,0.9625,2.4444444444444438,9.925,20.777777777777786,5.911111111111111,290.8246666666667,103.8499736,46.8250388
88,MONTENEGRO,2.0,1.7000000000000002,3.5,19.0,8.65,1.6,39.3245,19.5180992,42.9868853
89,MOROCCO,1.0,1.95,4.483333333333333,10.866666666666667,23.85,6.916666666666668,3310.867166666667,-7.3362482,31.1728205
90,MOZAMBIQUE,0.0,2.566666666666667,6.8,6.566666666666666,47.84285714285715,20.75714285714286,3619.840285714286,34.9144977,-19.302233
91,MYANMAR,1.0,2.5,9.771428571428572,4.62,45.1,29.75555555555555,5089.456555555556,95.9999652,17.1750495
92,NAMIBIA,2.0,2.75,8.575000000000001,4.125,29.200000000000006,18.05,273.58849999999995,17.3231107,-23.2335499
93,NAURU,2.0,0.2,1.0,2.8,24.0,4.8,1.0,166.9324426,-0.5252306
94,NEPAL,0.0,2.5285714285714285,10.325,1.0285714285714287,51.9125,36.95,3226.073625,84.0917139,28.1083929
95,NICARAGUA,1.0,0.75,2.033333333333333,6.55,24.066666666666666,7.033333333333334,671.9388333333333,-85.2936911,12.6090157
96,NIGER (THE),0.0,4.33,15.936363636363636,1.52,46.0,38.263636363636365,3137.2158181818177,9.3238432,17.7356214
97,NIGERIA,1.0,4.379999999999999,12.045454545454547,4.890909090909092,39.46363636363637,26.681818181818183,26759.82036363636,7.9999721,9.6000359
98,NORTH MACEDONIA,2.0,0.6333333333333334,2.3,12.733333333333333,8.066666666666668,1.6666666666666667,125.12866666666666,21.7168387,41.6171214
99,OMAN,3.0,1.6800000000000002,7.783333333333334,3.5500000000000003,16.066666666666666,11.916666666666664,332.156,57.0036901,21.0000287
100,PAKISTAN,1.0,4.5,14.314285714285711,4.757142857142857,46.67142857142858,33.737500000000004,21774.897875,71.247499,30.3308401
101,PANAMA,3.0,0.3333333333333333,1.366666666666667,9.066666666666666,19.83333333333333,4.733333333333333,346.0026666666667,-81.1308434,8.559559
102,PAPUA NEW GUINEA,1.0,2.8000000000000003,8.0,6.7333333333333325,46.46666666666667,22.9,869.4279999999999,144.2489081,-5.6816069
103,PARAGUAY,2.0,0.3333333333333333,1.3250000000000002,9.275,13.025,2.525,679.4762499999998,-58.1693445,-23.3165935
104,PERU,2.0,0.21333333333333335,0.7933333333333332,8.940000000000003,21.860000000000007,4.320000000000001,2922.8424000000014,-75.0458515,-6.8699697
105,PHILIPPINES (THE),1.0,1.92,7.127272727272726,3.1,36.27272727272728,24.14545454545454,10529.683272727272,122.7312101,12.7503486
106,POLAND,3.0,,,,2.75,,1951.3729999999998,19.134422,52.215933
107,QATAR,3.0,,2.1,10.4,11.6,4.8,50.012,51.2295295,25.3336984
108,REPUBLIC OF KOREA (THE),3.0,0.15000000000000002,1.05,6.75,2.5,0.8,2487.097,127.6961188,36.638392
109,REPUBLIC OF MOLDOVA (THE),1.0,1.45,3.85,6.9,8.55,2.7,215.5515,28.5670941,47.2879608
110,ROMANIA,2.0,0.9000000000000001,3.72,8.080000000000002,13.22,3.88,1268.1806,24.6859225,45.9852129
111,RWANDA,0.0,1.425,4.866666666666666,6.314285714285715,46.31111111111111,15.888888888888891,1423.7553333333335,30.0644358,-1.9646631
112,SAINT LUCIA,2.0,0.7,3.7,6.3,2.5,2.8,11.07,-60.975036,13.8250489
113,SAMOA,2.0,1.3,2.6,5.75,5.65,2.45,27.0955,-172.1200508,-13.7693895
114,SAO TOME AND PRINCIPE,1.0,2.333333333333333,7.0200000000000005,9.55,28.880000000000006,11.26,25.896000000000004,6.9648718,0.8875498
115,SAUDI ARABIA,3.0,4.5,7.35,3.65,15.35,9.4,2744.397,42.3528328,25.6242618
116,SENEGAL,1.0,1.825,8.27142857142857,2.115384615384615,22.735714285714288,16.3,2036.3530714285714,-14.4529612,14.4750607
117,SERBIA,2.0,1.2333333333333334,3.966666666666667,16.266666666666666,6.9,1.7333333333333334,489.82666666666665,21.07657433209902,44.024322850000004
118,SEYCHELLES,3.0,1.2,3.5,8.0,7.800000000000002,4.3,8.1065,55.4540146,-4.6574977
119,SIERRA LEONE,0.0,3.075,8.610000000000001,6.237500000000002,37.2,20.39,982.5267,-11.8400269,8.6400349
120,SINGAPORE,3.0,0.5,3.6,2.6,4.4,3.3,237.083,103.83039182212079,1.3408630000000001
121,SOLOMON ISLANDS,1.0,2.333333333333333,6.7333333333333325,2.966666666666667,32.73333333333333,14.666666666666664,73.68666666666667,159.10710973724628,-8.7053941
122,SOMALIA,0.0,4.35,15.633333333333335,3.85,32.166666666666664,26.03333333333333,2017.3263333333327,49.083416,8.3676771
123,SOUTH AFRICA,2.0,2.92,5.371428571428572,13.614285714285714,29.07142857142857,9.714285714285717,5274.621999999999,24.991639,-28.8166236
124,SOUTH SUDAN,0.0,11.4,23.65,8.45,33.75,30.1,1459.2625,29.6667897,7.8699431
125,SRI LANKA,2.0,2.45,15.7625,1.05,21.8625,26.0,1753.71225,80.7137847,7.5554942
126,STATE OF PALESTINE,1.0,0.8499999999999999,3.733333333333334,7.58,11.550000000000002,2.92,594.9526666666667,35.27386547291496,31.94696655
127,SUDAN (THE),1.0,4.766666666666667,15.4,2.9,36.86666666666667,29.93333333333333,5551.013000000001,29.4917691,14.5844444
128,SURINAME,2.0,1.2666666666666666,5.633333333333333,3.633333333333333,11.166666666666664,8.133333333333335,53.05966666666666,-56.0771187,4.1413025
129,SYRIAN ARAB REPUBLIC (THE),0.0,5.05,9.566666666666665,17.825000000000006,28.55,10.05,2476.2093333333332,39.0494106,34.6401861
130,TAJIKISTAN,0.0,2.483333333333333,8.290909090909091,6.116666666666666,33.77272727272727,10.933333333333332,979.9402727272728,70.8156541,38.6281733
131,THAILAND,2.0,1.475,6.083333333333332,6.619999999999999,17.733333333333334,12.466666666666667,4651.628833333333,100.83273,14.8971921
132,TIMOR-LESTE,1.0,4.775,15.62,3.65,55.38,42.8,160.4448,125.8375756,-8.5151979
133,TOGO,0.0,2.0375,7.712499999999999,2.3999999999999995,30.922222222222228,18.933333333333326,957.8651111111113,1.0199765,8.7800265
134,TONGA,2.0,2.1,3.25,17.3,5.15,1.9,13.9005,-175.2026424,-19.9160819
135,TRINIDAD AND TOBAGO,3.0,1.4,5.466666666666666,6.633333333333333,6.933333333333333,5.133333333333334,113.71333333333332,-60.9821067,10.8677845
136,TUNISIA,1.0,1.1,3.583333333333334,9.080000000000002,12.45,3.65,928.927,9.400138,33.8439408
137,TURKEY,2.0,0.6,2.1,7.75,14.35,4.842857142857143,6543.739571428572,34.9249653,38.9597594
138,TURKMENISTAN,2.0,1.6,6.166666666666668,5.2,19.5,7.633333333333333,563.6246666666666,59.3924609,39.3763807
139,TUVALU,2.0,0.9,3.3,6.3,10.0,1.6,1.0,179.1582918181797,-8.6405212
140,UGANDA,0.0,1.3333333333333337,4.522222222222221,4.277777777777779,38.333333333333336,15.533333333333335,5647.890555555557,32.2166578,1.5333554
141,UKRAINE,1.0,3.8,8.2,26.5,22.9,4.1,2160.097,31.2718321,49.4871968
142,UNITED REPUBLIC OF TANZANIA (THE),0.0,1.5,5.054545454545455,4.540000000000001,40.99090909090909,17.727272727272727,7373.04890909091,35.7878438,-6.5247123
143,UNITED STATES OF AMERICA (THE),3.0,0.04,0.5142857142857143,7.414285714285714,2.914285714285714,0.8800000000000001,20077.90957142857,-100.4458825,39.7837304
144,URUGUAY,3.0,0.65,2.3833333333333333,9.166666666666666,14.242857142857144,5.128571428571429,255.65900000000005,-56.0201525,-32.8755548
145,UZBEKISTAN,1.0,2.975,6.4750000000000005,10.925,23.7,7.0,2957.5055,63.9528098,41.32373
146,VANUATU,1.0,1.7,5.8,4.800000000000002,26.766666666666666,11.266666666666666,31.77133333333333,168.1069154,-16.5255069
147,VENEZUELA (BOLIVARIAN REPUBLIC OF),2.0,,4.333333333333333,5.40952380952381,16.957142857142866,4.242857142857143,2787.8000952380958,-66.1109318,8.0018709
148,VIET NAM,1.0,2.3312500000000003,8.661904761904761,3.3176470588235287,34.922727272727265,22.91818181818182,7507.220272727272,108.4265113,13.2904027
149,YEMEN,0.0,5.3,15.242857142857142,4.842857142857143,51.9,37.785714285714285,3269.476,47.8915271,16.3471243
150,ZAMBIA,1.0,2.042857142857143,5.542857142857144,7.2285714285714295,48.1375,17.885714285714286,2083.4945,27.5599164,-14.5186239
151,ZIMBABWE,1.0,1.3888888888888888,4.166666666666666,5.788888888888889,30.45555555555555,10.71,1912.4504,29.7468414,-18.4554963
